,nome-geografico,match,name,nome-vide,vide_type,lookup,faculdade,nome-pai,uc-entrada,match_error,match_obs
235544,Elvas,,Afonso Soares da Mota,Afonso Soares de Lemos,rep,Afonso Soares de Lemos,,António Pinto Soares,0000-00-00,False,
225535,Aldeia Nova do Cabo,,Afonso de Sá Pereira,Sá,cut,Afonso de Sá,Cânones,,0000-00-00,False,
148819,Vila Real,,Afonso Teixeira de Azevedo,Teixeira,cut,Afonso Teixeira,,,0000-00-00,False,
214149,Vila Real,,Afonso Teixeira de Mendonça,Teixeira,cut,Afonso Teixeira,Leis,,0000-00-00,False,
199294,Vila Real,,Afonso Teixeira,Mendonça e Azevedo,add,Afonso Teixeira Mendonça e Azevedo,Cânones,,1650-11-08,False,
199294,Vila Real,,Afonso Teixeira,Mendonça e Azevedo,add,Afonso Teixeira Mendonça e Azevedo,Leis,,1650-11-08,False,
316331,Quinta do Alqueidão,,Agostinho António de Sousa Brito Resende,Soutomaior,add,Agostinho António de Sousa Brito Resende Soutomaior,,,0000-00-00,False,
234238,Lisboa,,Agostinho Armando de Vasconcelos e Sousa,Agostinho Armando Vasconcelos,rep,Agostinho Armando Vasconcelos,,,0000-00-00,False,
148028,Lisboa,,Agostinho Armando,Vasconcelos,add,Agostinho Armando Vasconcelos,,,0000-00-00,False,
251008,Lisboa,,Agostinho Azevedo Monteiro,Azevedo,cut,Agostinho Azevedo,,Belchior Barrassa,0000-00-00,False,
185137,Castelo Novo,,Agostinho Barreiros de Beja,Agostinho Barreiros de Oliveira,rep,Agostinho Barreiros de Oliveira,,,0000-00-00,False,
187458,Santa Olaia,,Agostinho Brandão,Pinto,add,Agostinho Brandão Pinto,Cursos jurídicos (Cânones ou Leis),,1688-01-21,False,
311392,Ilha de São Miguel,,Agostinho Cimbron Borges de Sousa,Agostinho Cimbron Borges do Canto,rep,Agostinho Cimbron Borges do Canto,,,0000-00-00,False,
204927,Montemor-o-Velho,,Agostinho Couceiro,Portugal,add,Agostinho Couceiro Portugal,,,0000-00-00,False,
163734,Lisboa,,Agostinho Duarte,Sabado,add,Agostinho Duarte Sabado,,José Duarte Sabado,0000-00-00,False,
199298,Lisboa,,Agostinho Duarte Teixeira,Duarte,cut,Agostinho Duarte,,Francisco Duarte,0000-00-00,False,
134542,,,Agostinho José Rebelo,Agostinho do Espírito Santo Rebelo,rep,Agostinho do Espírito Santo Rebelo,,,0000-00-00,False,
353577,Porto,,Agostinho Ferreira da Cunha,Ferreira,cut,Agostinho Ferreira,,Manuel João,0000-00-00,False,
286888,Massalvisa,,Agostinho Gomes Monteiro,Agostinho Gomes do Santos,rep,Agostinho Gomes do Santos,,,0000-00-00,False,
249536,Mancelavisa,,Agostinho Gomes Pombo,Gomes dos Santos,add,Agostinho Gomes Pombo Gomes dos Santos,,,0000-00-00,False,
279227,,,Agostinho de Jesus Maria,Agostinho de Jesus Maria José,rep,Agostinho de Jesus Maria José,,,0000-00-00,False,
152599,Lisboa,,Agostinho José de Carvalho,Agostinho José de Figueiredo Carvalho e Oliveira,rep,Agostinho José de Figueiredo Carvalho e Oliveira,Leis,,1791-10-27,False,
294567,Brasil,,Agostinho José da Cunha,Soares,add,Agostinho José da Cunha Soares,,,0000-00-00,False,
294567,Rio de Janeiro,,Agostinho José da Cunha,Soares,add,Agostinho José da Cunha Soares,,,0000-00-00,False,
311393,Azeitão,,Agostinho José Ferreira e Sousa,Ferreira,cut,Agostinho José Ferreira,Medicina,Francisco Ferreira de Sousa,0000-00-00,False,
311393,Vila Fresca,,Agostinho José Ferreira e Sousa,Ferreira,cut,Agostinho José Ferreira,Medicina,Francisco Ferreira de Sousa,0000-00-00,False,
288124,,,Agostinho José de Figueiredo Carvalho,Figueiredo,cut,Agostinho José de Figueiredo,,,0000-00-00,False,
298040,Bragança,,"Agostinho José da Fonseca Pinto, vide, Fonseca",,novid,"Agostinho José da Fonseca Pinto, vide, Fonseca",,,0000-00-00,False,
148835,Guarda,,Agostinho José Lobo de Azevedo,Pinho,add,Agostinho José Lobo de Azevedo Pinho,,,0000-00-00,False,
148836,Chaves,,Agostinho Lopes de Eiró e Azevedo,Eiró,cut,Agostinho Lopes de Eiró,,,0000-00-00,False,
148837,Lamego,,Agostinho Lourenço de Azevedo,,novid,Agostinho Lourenço de Azevedo,,Manuel Lourenço,0000-00-00,False,
225562,,,Agostinho Marques do Couto Pereira,Couto,cut,Agostinho Marques do Couto,,,0000-00-00,False,
136836,Andaluzia,,Agostinho Reinaud,Abensar,add,Agostinho Reinaud Abensar,,,0000-00-00,False,
190719,Cubos,,Agostinho Rodrigues,Coelho,add,Agostinho Rodrigues Coelho,Cânones,,0000-00-00,False,
188208,Cubos,,Agostinho Rodrigues Coelho de Brito,Rodrigues,cut,Agostinho Rodrigues,,,0000-00-00,False,
224158,Lisboa,,Agostinho da Silva,Henriques,add,Agostinho da Silva Henriques,,,0000-00-00,False,
196482,Lisboa,,Aires Correia,Baharem,add,Aires Correia Baharem,,,0000-00-00,False,
149805,Lisboa,,Aires Correia Baharém,Correia,cut,Aires Correia,Teologia,Manuel Correia de Menezes,1594-10-18,False,
247737,Condeixa-a-Nova,,Aires Duarte de Miranda,José Aires de Miranda,rep,José Aires de Miranda,Cânones,Custódio Gonçalves,1736-10-01,False,
224211,Covilhã,,Aires Francisco de Proneça e Silva,Proença,add,Aires Francisco de Proneça e Silva Proença,Cânones,,1719-10-01,False,
311301,Fundão,,Albano Giraldes da Cunha Taborda Leitão Preto,Leitão,cut,Albano Giraldes da Cunha Taborda Leitão,,,0000-00-00,False,
192844,Ovfmatsen,,Alberto Chremer,Cremert,add,Alberto Chremer Cremert,Cânones,,1726-10-01,False,
214345,Guimarães,,Alberto da Cunha Sampaio,Valmar,add,Alberto da Cunha Sampaio Valmar,,,0000-00-00,False,
134545,Lisboa,,Alberto da Fonseca Rebelo,Fonseca,cut,Alberto da Fonseca,,Manuel da Fonseca,0000-00-00,False,
298044,Coimbra,,Alberto de Moura Pinto,Alberto Marques,rep,Alberto Marques,Direito,Pai incognito,1902-06-10,False,
168566,Lisboa,,Alberto de Negreiros,Ferreira,add,Alberto de Negreiros Ferreira,Cânones,,1702-10-01,False,
268701,Pisão de Coja,,Albino Abranches Figueiredo Freire Abreu,Albino Abranches Freire de Figueiredo,rep,Albino Abranches Freire de Figueiredo,,,0000-00-00,False,
290510,Arganil,,Albino Abranches Freire Figueiredo Abreu e Castro,Albino Abranches Freire de Figueiredo,rep,Albino Abranches Freire de Figueiredo,,,0000-00-00,False,
290510,Pisão,,Albino Abranches Freire Figueiredo Abreu e Castro,Albino Abranches Freire de Figueiredo,rep,Albino Abranches Freire de Figueiredo,,,0000-00-00,False,
133706,Pardilhó,,Alexandre Amador Ramos,Amador,cut,Alexandre Amador,,Paulo João,0000-00-00,False,
287784,Lisboa,,Alexandre António das Neves,Portugal,add,Alexandre António das Neves Portugal,,,0000-00-00,False,
150450,Monforte,,Alexandre Barata,Guerra,add,Alexandre Barata Guerra,,,0000-00-00,False,
234289,Celorico,,Alexandre Batista de Sousa,Batista,cut,Alexandre Batista,Medicina,Manuel Batista de Sousa,1690-10-01,False,
150110,Celorico de Basto,,Alexandre Batista,Sousa,add,Alexandre Batista Sousa,Medicina,Manuel Batista de Sousa,1690-10-01,False,
186626,Torre de Moncorvo,,Alexandre Botelho,Morais,add,Alexandre Botelho Morais,,,0000-00-00,False,
284560,Lamego,,Alexandre da Costa Pinto Couto Magalhães,Alexandre da Costa Pinto,cut,Alexandre da Costa Pinto,,,0000-00-00,False,
316642,Guarda,,Alexandre da Cunha Piguateli da Gama Soutomaior,Alexandre da Cunha Freire Robalo Piguateli,rep,Alexandre da Cunha Freire Robalo Piguateli,,,0000-00-00,False,
152672,Amarante,,Alexandre Duarte de Carvalho,Duarte,cut,Alexandre Duarte,Cânones,,1710-10-01,False,
129873,Arões,,Alexandre Ferreira de Campos,Ferreira,cut,Alexandre Ferreira,,,0000-00-00,False,
310938,Lisboa,,"Alexandre Jansen Moler Van-Prat, vide Alexandre Jansen Moler",,novid,"Alexandre Jansen Moler Van-Prat, vide Alexandre Jansen Moler",Cânones,Pedro Jansen Moler,0000-00-00,False,
247750,Sarzedos,,Alexandre José e Nogueira de Miranda,Nogueira,cut,Alexandre José e Nogueira,,,0000-00-00,False,
241164,Buarcos,,Alexandre de Mesquita,Ferreira,add,Alexandre de Mesquita Ferreira,,Manuel Mesquita de Loureiro,1909-10-18,False,
227577,Sintra,,Alexandre Monteiro da Rosa,Sequeira,add,Alexandre Monteiro da Rosa Sequeira,Cânones,,1715-10-01,False,
141976,Tomar,,Alexandre de Novais e Albuquerque,Alexandre de Novais,cut,Alexandre de Novais,,,0000-00-00,False,
311657,Quintela da Lapa,,Alexandre de Proença,Lemos,add,Alexandre de Proença Lemos,,António de Lemos,0000-00-00,False,
270945,,,Alexandre Rodrigues Osório Passos de Amorim,Alexandre Rodrigues Osório,cut,Alexandre Rodrigues Osório,,,0000-00-00,False,
190779,Lisboa,,Alexandre Rodrigues,de Araújo,add,Alexandre Rodrigues de Araújo,,,0000-00-00,False,
208783,Soure,,Alexandre de Vasconcelos Coutinho de Sousa Freire Vasconcelos,Alexandre de Sousa Freire de Vasconcelos,rep,Alexandre de Sousa Freire de Vasconcelos,Filosofia,,1790-10-23,False,
234287,Lisboa,,Alexandre de Sousa,Freire,add,Alexandre de Sousa Freire,,,0000-00-00,False,
199318,Carrazedo de Montenegro,,Alexandre Teixeira,Sampaio,add,Alexandre Teixeira Sampaio,,,0000-00-00,False,
310291,Vila Nova de Foz Côa,,Alfredo Abílio de Almeida Silvano,Almeida,cut,Alfredo Abílio de Almeida,,,0000-00-00,False,
297378,Freixedas,,Alípio António Diogo da Silva,Alípio António dos Santos,rep,Alípio António dos Santos,,Manuel Dias da Silva,0000-00-00,False,
297378,Guarda,,Alípio António Diogo da Silva,Alípio António dos Santos,rep,Alípio António dos Santos,,Manuel Dias da Silva,0000-00-00,False,
289245,Sisão de Coja,,Alípio Freire de Figueiredo Ferrão Abreu Castelo Branco,Alípio de Figueiredo Freire e Abreu,rep,Alípio de Figueiredo Freire e Abreu,,Bernardo de Figueiredo Ferrão Freire Abreu,0000-00-00,False,
199124,Arcos de Valdevez,,Amador da Costa,Amaro Fernandes da Costa,rep,Amaro Fernandes da Costa,Teologia,João Gonçalves Velho,1654-10-09,False,
199139,Arcos de Valdevez,,Amaro Fernandes da Costa,Amaro da Costa,rep,Amaro da Costa,,,0000-00-00,False,
144722,São Lourenço,,Amaro da Cunha Alves,Cunha,cut,Amaro da Cunha,,,0000-00-00,False,
224323,Lisboa,,Amaro Duarte da Silva,Duarte,cut,Amaro Duarte,,,0000-00-00,False,
178261,Sardoal,,Amaro Gomes,Figueiredo,add,Amaro Gomes Figueiredo,Medicina,,0000-00-00,False,
245484,Porto,,Amaro Luís de Mesquita Pinto,Mesquita,cut,Amaro Luís de Mesquita,Leis,,1726-11-16,False,
204942,São Cosmado,,Amaro Mendes,Sampaio,add,Amaro Mendes Sampaio,Leis,Domingos de Távora,0000-00-00,False,
225666,Soutelo de Aguiar,,Amaro Pereira de,Aguiar,add,Amaro Pereira de Aguiar,,,0000-00-00,False,
152556,Aveiro,,Amaro dos Santos Ribeiro,Santos,cut,Amaro dos Santos,,,0000-00-00,False,
177897,Guarda,,Ambrósio José Botelho Godinho,Botelho,cut,Ambrósio José Botelho,,,0000-00-00,False,
277495,Montemor,,Ambrósio Rodrigues Cardoso,Ambrósio Rodrigues da Silva,rep,Ambrósio Rodrigues da Silva,Cânones,Luís Rodrigues da Silva,0000-00-00,False,
211616,Guimarães,,Ambrósio Vaz,Golias,add,Ambrósio Vaz Golias,Cânones,Diogo de Guimarães,0000-00-00,False,
181209,Baía,,Anacleto José de Macedo,Anacleto José de Macedo Portugal,rep,Anacleto José de Macedo Portugal,,,0000-00-00,False,
293212,Lisboa,,Anacleto José Pereira,Furtado,add,Anacleto José Pereira Furtado,Leis,José de Oliveira Furtado,1763-05-13,False,
137775,Esgueira,,André Afonso de Resende,Afonso,cut,André Afonso,Cânones,António da Rocha,1670-10-24,False,
291389,,,André Alves Pereira Ribeiro e Cirne,Ribeiro,cut,André Alves Pereira Ribeiro,,,0000-00-00,False,
145336,Moimenta da Beira,,André do Amaral,Mouta,add,André do Amaral Mouta,,,0000-00-00,False,
277571,Santiago de Seia,,André António Ferreira Ferrão,Castelo Branco,add,André António Ferreira Ferrão Castelo Branco,Cânones,André Ferrão Castelo Branco,0000-00-00,False,
151550,Palmela,,André Barrocas,Carvalho,add,André Barrocas Carvalho,Leis,João Barrocas,0000-00-00,False,
186633,,,André Botelho,,novid,André Botelho,Teologia,,0000-00-00,False,
131755,Guimarães,,André Caminha,de Castro,add,André Caminha de Castro,,,0000-00-00,False,
129879,Penela,,André de Campos,Cordeiro,add,André de Campos Cordeiro,,,0000-00-00,False,
132337,Viseu,,André Cardoso,Almeida,add,André Cardoso Almeida,Cânones,,1573-10-01,False,
232135,Lisboa,,André Castilho Lobo,Castilho,cut,André Castilho,Leis,,0000-00-00,False,
191949,Lisboa,,André de Cerqueira,Marecos,add,André de Cerqueira Marecos,,António de Cerqueira,0000-00-00,False,
198388,Lisboa,,André Corsino,Val,add,André Corsino Val,Cursos jurídicos (Cânones ou Leis),,1703-10-01,False,
199179,Viana,,André da Costa,Alcains,add,André da Costa Alcains,Cânones,,0000-00-00,False,
218750,Tavira,,André da Costa Vila Lobos,Costa,cut,André da Costa,,,0000-00-00,False,
311302,Mariana,,André do Couto Godinho Homem Preto,Godinho,cut,André do Couto Godinho,,,0000-00-00,False,
174216,Évora,,André Dias de Melo,André de Melo,rep,André de Melo,,Gaspar Dias Landim,0000-00-00,False,
286700,Miranda do Douro,,André Dias de Miranda,Dias,cut,André Dias,,Brás Dias,0000-00-00,False,
244797,Esgueira,,André Dias Pinho,Dias,cut,André Dias,,Fernando Dias,0000-00-00,False,
218753,Coimbra,,André Dias de Vila Lobos,Dias,cut,André Dias,Cânones,Domingos Dias,1586-11-13,False,
162684,Semide,,André Dinis,Amaral,add,André Dinis Amaral,Cursos jurídicos (Cânones ou Leis),Licenciado António Dinis Bonça,0000-00-00,False,
243387,Almeida,,André de Faria Pinheiro,Faria,cut,André de Faria,Cânones,Domingos de Faria,0000-00-00,False,
247163,Amieira,,André Feio,Vieira,add,André Feio Vieira,,,0000-00-00,False,
248319,Sarzedos,,André Fernandes,Leal,add,André Fernandes Leal,Cânones,André Fernandes,0000-00-00,False,
248310,Penagarcia,,André Fernandes,Malcata,add,André Fernandes Malcata,,,0000-00-00,False,
183744,Rosmaninhal,,André Fernandes Manhans,Fernandes,cut,André Fernandes,Cânones,,1682-10-01,False,
248306,Moimenta,,André Fernandes,Mena,add,André Fernandes Mena,Cânones,Pascoal Fernandes,0000-00-00,False,
131451,Reguengos,,André Fialho,,novid,André Fialho,Artes,,0000-00-00,False,
234913,Antas,,André de Figueiredo de Sousa,Figueiredo,cut,André de Figueiredo,,Jerónimo de Figueiredo,0000-00-00,False,
234913,Penalva,,André de Figueiredo de Sousa,Figueiredo,cut,André de Figueiredo,,Jerónimo de Figueiredo,0000-00-00,False,
148614,Lisboa,,André Freire de Ataíde,,novid,André Freire de Ataíde,Leis,Luís Gonçalves,0000-00-00,False,
164252,Lisboa,,André Freire,Ataide,add,André Freire Ataide,Leis,Luís Gonçalves,1640-10-15,False,
169901,Lisboa,,André Furtado,Mendonça,add,André Furtado Mendonça,Teologia,João Furtado,0000-00-00,False,
201768,Tavira,,André Leitão,Alvelos,add,André Leitão Alvelos,,,1690-03-11,False,
235917,Lisboa,,André de Oliveira Lopes,André Lopes de Oliveira,rep,André Lopes de Oliveira,,Manuel Lopes de Oliveira,0000-00-00,False,
235909,Penagarcia,,André Lopes,Pinto,add,André Lopes Pinto,Leis,Manuel Lopes,0000-00-00,False,
187057,Lisboa,,André Machado Henriques,Machado,cut,André Machado,Cânones,,1689-10-01,False,
191951,Lisboa,,André Marecos de Cerqueira,Marecos,cut,André Marecos,,,0000-00-00,False,
184782,Lisboa,,André Marrecos,Cerqueira,add,André Marrecos Cerqueira,Cânones,António Cerqueira,1600-11-07,False,
222375,Lisboa,,André Marrecos Sequeira,Marrecos,cut,André Marrecos,Cânones,,1600-11-07,False,
171375,,,André de Matos,,novid,André de Matos,Teologia,,0000-00-00,False,
174186,Coimbra,,André de Melo,Freire,add,André de Melo Freire,Cânones,,1653-10-10,False,
164260,,,André de Melo Freire,Melo,cut,André de Melo,Artes,,1651-03-18,False,
250115,Bragança,,André de Morais,Morais Sarmento,add,André de Morais Morais Sarmento,Cânones,Rodrigo de Morais,1651-10-16,False,
251657,Bragança,,André de Morais Sarmento,Morais,cut,André de Morais,Cânones,,0000-00-00,False,
174205,Coimbra,,André de Oliveira,Souto,add,André de Oliveira Souto,Artes,,1656-05-17,False,
242627,,,André de Oliveira do Souto,Oliveira,cut,André de Oliveira,,,0000-00-00,False,
225679,Bertiandos,,André Pereira,Pinto,add,André Pereira Pinto,,,0000-00-00,False,
242915,Faro,,André de Pina,Trigueiros,add,André de Pina Trigueiros,,Sebastião Francisco de Pina,0000-00-00,False,
225691,Sande,,André Pinto de Lemos Pereira,Pinto,cut,André Pinto,,,0000-00-00,False,
131852,Góis,,André de Quadros,Coutinho,add,André de Quadros Coutinho,Cânones,António de Quadros,1629-10-13,False,
152628,Serpa,,André Ribeiro,,novid,André Ribeiro,,,0000-00-00,False,
230318,Castelo Branco,,André da Silveira,Andrade,add,André da Silveira Andrade,,João de Andrade,0000-00-00,False,
276315,Rebordosa,,André de Sousa Dias,Sousa,cut,André de Sousa,,João de Sousa,0000-00-00,False,
208230,Vila Nova de Portimão,,André Varela,Soutomaior,add,André Varela Soutomaior,,João Varela Souto,0000-00-00,False,
146615,,,André,André Pacheco,rep,André Pacheco,,,0000-00-00,False,
255768,,,Antonino Augusto Freire Ribeiro de Campos,António Augusto Freire Ribeiro de Campos,add,Antonino Augusto Freire Ribeiro de Campos António Augusto Freire Ribeiro de Campos,,,0000-00-00,False,
205056,Lisboa,,Antonio Pacheco,Almeida,add,Antonio Pacheco Almeida,,Francisco Pacheco de Almeida,0000-00-00,False,
204966,Coimbra,,Antonio Pacheco,Fabião,add,Antonio Pacheco Fabião,Medicina,Domingos Fernandes,1615-10-05,False,
205011,Ilha de São Miguel,,Antonio Pacheco,Osório,add,Antonio Pacheco Osório,Cânones,Vicente Pacheco,1633-11-02,False,
205011,Ilha de São Miguel,,Antonio Pacheco,Osório,add,Antonio Pacheco Osório,Leis,Vicente Pacheco,1633-11-02,False,
212055,Torrozelo,,Antonio Pessoa Delgado Homem de Lemos,Delgado,cut,Antonio Pessoa Delgado,,,0000-00-00,False,
191039,Cartaxo,,Antão Rodrigues,Brandão,add,Antão Rodrigues Brandão,Cânones,,0000-00-00,False,
199363,Trancoso,,Antão Saraiva Teixeira,Saraiva,cut,Antão Saraiva,Cânones,João da Costa,0000-00-00,False,
283174,Carvalhal,,António de Abranches Lobo de Figueiredo e Lemos,Figueiredo,cut,António de Abranches Lobo de Figueiredo,,,0000-00-00,False,
283174,Viseu,,António de Abranches Lobo de Figueiredo e Lemos,Figueiredo,cut,António de Abranches Lobo de Figueiredo,,,0000-00-00,False,
232352,São Miguel do Outeiro,,António Abranches Lobo,António Lobo Abranches,rep,António Lobo Abranches,,,0000-00-00,False,
272227,Montemor-o-Velho,,António de Abreu Bacelar de Azevedo,António de Abreu Bacelar Chicharro Borges de Azevedo,rep,António de Abreu Bacelar Chicharro Borges de Azevedo,Cânones,Francisco José de Abreu Bacelar,0000-00-00,False,
287249,Ponte de Lima,,António de Abreu Lima de Morais,Lencastre,add,António de Abreu Lima de Morais Lencastre,,,0000-00-00,False,
174307,,,António de Abreu de Melo,,novid,António de Abreu de Melo,,,0000-00-00,False,
266210,Santarém,,António de Abreu de Araújo,Abreu,cut,António de Abreu,Cânones,,0000-00-00,False,
153157,Setúbal,,António de Aguiar Carvalho,Aguiar,cut,António de Aguiar,,,0000-00-00,False,
286898,,,António de Albergaria Monteiro,Vasconcelos,add,António de Albergaria Monteiro Vasconcelos,,,0000-00-00,False,
138592,Vila do Conde,,António Alberto Carneiro,de Sá,add,António Alberto Carneiro de Sá,,,0000-00-00,False,
282599,Porto,,António Alfredo Pinto de Sousa Guedes,Sousa,cut,António Alfredo Pinto de Sousa,Cânones,Francisco José Pinto de Sousa,0000-00-00,False,
145274,Trancoso,,António de Almeida Amado,e Sá,add,António de Almeida Amado e Sá,,,0000-00-00,False,
277530,Nova Colónia,,António de Almeida Cardoso,Figueiredo,add,António de Almeida Cardoso Figueiredo,Cânones,António Lopes Cardoso,0000-00-00,False,
235670,Fataunços,,António Menezes Sousa,António de Almeida Menezes Sousa,rep,António de Almeida Menezes Sousa,Leis,,1782-10-23,False,
189295,Lisboa,,António de Almeida Rangel Castelo Branco,Rangel,cut,António de Almeida Rangel,,,0000-00-00,False,
197191,Angra do Heroísmo,,António de Almeida Tavares,António Caetano de Almeida,rep,António Caetano de Almeida,,,0000-00-00,False,
197191,Açores,,António de Almeida Tavares,António Caetano de Almeida,rep,António Caetano de Almeida,,,0000-00-00,False,
197191,Ilha Terceira,,António de Almeida Tavares,António Caetano de Almeida,rep,António Caetano de Almeida,,,0000-00-00,False,
142539,Cartaxo,,António de Almeida,Carreira,add,António de Almeida Carreira,,António de Almeida,0000-00-00,False,
240671,Aldeia da Cruz,,António de Almeida Pestana,Almeida,cut,António de Almeida,,,0000-00-00,False,
208916,Porto,,António Alves da Cunha,Araújo,add,António Alves da Cunha Araújo,Cânones,Domingos Alves da Cunha,1719-10-01,False,
319185,Mariana,,António Alves Ferreira Rodrigues,Ferreira,cut,António Alves Ferreira,,,0000-00-00,False,
319185,São João de El-Rei,,António Alves Ferreira Rodrigues,Ferreira,cut,António Alves Ferreira,,,0000-00-00,False,
271040,,,António Alves de Sousa e Andrade,Sousa,cut,António Alves de Sousa,,,0000-00-00,False,
162705,Menezes,,António Alves Dinis,Alves,cut,António Alves,,,0000-00-00,False,
162705,Torgueda,,António Alves Dinis,Alves,cut,António Alves,,,0000-00-00,False,
294592,Sebal Grande,,António Amado da Cunha,Vasconcelos,add,António Amado da Cunha Vasconcelos,,Pedro Amado da Cunha e Vasconcelos,0000-00-00,False,
277881,,,António de Amaral Ferreira,António de Amaral,cut,António de Amaral,,,0000-00-00,False,
316859,,,António de Andrade Gonçalves Temudo,António Freire Temudo Metela,rep,António Freire Temudo Metela,,,0000-00-00,False,
271097,Leiria,,António Mesquita e Andrade,António de Andrade Mesquita,rep,António de Andrade Mesquita,Cânones,,0000-00-00,False,
271036,,,António de Andrade,António de Andrade e Aguiar,rep,António de Andrade e Aguiar,Cânones,Manuel de Andrade,1771-05-24,False,
145909,Sertã,,António de Andrade,Leitão,add,António de Andrade Leitão,Cânones,António Lopes Leitão,0000-00-00,False,
240147,Podentes,,António de Andrade Pessoa,Andrade,cut,António de Andrade,,,0000-00-00,False,
269711,Abegoaria,,António Antunes de Almeida,António Antunes,cut,António Antunes,Cânones,Francisco Gonçalves,1771-05-23,False,
129897,Penamacor,,António Antunes de Campos,Antunes,cut,António Antunes,,,0000-00-00,False,
224652,Torres Vedras,,António Antunes Ferreira da Silva,Antunes,cut,António Antunes,,,0000-00-00,False,
181675,Almoster,,António Antunes Machado,Antunes,cut,António Antunes,,Manuel Antunes de Albuquerque,0000-00-00,False,
146637,Coina,,António Antunes,Paiva,add,António Antunes Paiva,,,0000-00-00,False,
146637,Miranda do Douro,,António Antunes,Paiva,add,António Antunes Paiva,,,0000-00-00,False,
150607,São Jorge,,António de Araújo Barbosa,Velho,add,António de Araújo Barbosa Velho,,,0000-00-00,False,
